,DisGENet_id,Disease_name,Disease_type,Disease_class,Disease_class_name
530,C0007873,Uterine Cervical Neoplasm,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
537,C0014132,Endocrine Gland Neoplasms,group,C04,   Neoplasms
538,C0014132,Endocrine Gland Neoplasms,group,C19,   Endocrine System Diseases
539,C0014859,Esophageal Neoplasms,group,C06,   Digestive System Diseases
540,C0014859,Esophageal Neoplasms,group,C04,   Neoplasms
553,C0017636,Glioblastoma,disease,C04,   Neoplasms
556,C0017638,Glioma,disease,C04,   Neoplasms
587,C0018671,Head and Neck Neoplasms,group,C04,   Neoplasms
597,C0018923,Hemangiosarcoma,disease,C04,   Neoplasms
601,C0019621,"Histiocytosis, Langerhans-Cell",disease,C08,   Respiratory Tract Diseases
602,C0019621,"Histiocytosis, Langerhans-Cell",disease,C15,   Hemic and Lymphatic Diseases
603,C0019829,Hodgkin Disease,disease,C04,   Neoplasms
604,C0019829,Hodgkin Disease,disease,C20,   Immune System Diseases
605,C0019829,Hodgkin Disease,disease,C15,   Hemic and Lymphatic Diseases
621,C0022665,Kidney Neoplasm,disease,C04,   Neoplasms
622,C0022665,Kidney Neoplasm,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
623,C0022665,Kidney Neoplasm,disease,C12,   Male Urogenital Diseases
645,C0023418,leukemia,disease,C04,   Neoplasms
663,C0023434,Chronic Lymphocytic Leukemia,disease,C04,   Neoplasms
664,C0023434,Chronic Lymphocytic Leukemia,disease,C20,   Immune System Diseases
665,C0023434,Chronic Lymphocytic Leukemia,disease,C15,   Hemic and Lymphatic Diseases
708,C0023443,Hairy Cell Leukemia,disease,C04,   Neoplasms
709,C0023443,Hairy Cell Leukemia,disease,C20,   Immune System Diseases
710,C0023443,Hairy Cell Leukemia,disease,C15,   Hemic and Lymphatic Diseases
711,C0023461,"Leukemia, Mast-Cell",disease,C04,   Neoplasms
712,C0023462,Acute Megakaryocytic Leukemias,disease,C04,   Neoplasms
714,C0023467,"Leukemia, Myelocytic, Acute",disease,C04,   Neoplasms
758,C0023473,"Myeloid Leukemia, Chronic",disease,C04,   Neoplasms
759,C0023473,"Myeloid Leukemia, Chronic",disease,C15,   Hemic and Lymphatic Diseases
774,C0023481,Chronic Neutrophilic Leukemia,disease,C15,   Hemic and Lymphatic Diseases
775,C0023487,Acute Promyelocytic Leukemia,disease,C04,   Neoplasms
777,C0023827,liposarcoma,disease,C04,   Neoplasms
782,C0024121,Lung Neoplasms,group,C04,   Neoplasms
783,C0024121,Lung Neoplasms,group,C08,   Respiratory Tract Diseases
814,C0024299,Lymphoma,group,C04,   Neoplasms
815,C0024299,Lymphoma,group,C20,   Immune System Diseases
816,C0024299,Lymphoma,group,C15,   Hemic and Lymphatic Diseases
874,C0024301,"Lymphoma, Follicular",disease,C04,   Neoplasms
875,C0024301,"Lymphoma, Follicular",disease,C20,   Immune System Diseases
876,C0024301,"Lymphoma, Follicular",disease,C15,   Hemic and Lymphatic Diseases
883,C0024305,"Lymphoma, Non-Hodgkin",disease,C04,   Neoplasms
884,C0024305,"Lymphoma, Non-Hodgkin",disease,C20,   Immune System Diseases
885,C0024305,"Lymphoma, Non-Hodgkin",disease,C15,   Hemic and Lymphatic Diseases
928,C0024419,Waldenstrom Macroglobulinemia,disease,C04,   Neoplasms
929,C0024419,Waldenstrom Macroglobulinemia,disease,C20,   Immune System Diseases
930,C0024419,Waldenstrom Macroglobulinemia,disease,C15,   Hemic and Lymphatic Diseases
931,C0024419,Waldenstrom Macroglobulinemia,disease,C14,   Cardiovascular Diseases
932,C0024623,Malignant neoplasm of stomach,disease,C06,   Digestive System Diseases
933,C0024623,Malignant neoplasm of stomach,disease,C04,   Neoplasms
972,C0024899,Mastocytosis,disease,C04,   Neoplasms
973,C0024899,Mastocytosis,disease,C17,   Skin and Connective Tissue Diseases
974,C0024899,Mastocytosis,disease,C20,   Immune System Diseases
975,C0025149,Medulloblastoma,disease,C04,   Neoplasms
989,C0025202,melanoma,disease,C04,   Neoplasms
1030,C0025286,Meningioma,disease,C04,   Neoplasms
1031,C0025286,Meningioma,disease,C10,   Nervous System Diseases
1044,C0025500,Mesothelioma,disease,C04,   Neoplasms
1046,C0026764,Multiple Myeloma,disease,C04,   Neoplasms
1047,C0026764,Multiple Myeloma,disease,C20,   Immune System Diseases
1048,C0026764,Multiple Myeloma,disease,C15,   Hemic and Lymphatic Diseases
1049,C0026764,Multiple Myeloma,disease,C14,   Cardiovascular Diseases
1086,C0027019,Myelomonocytic leukemia,disease,C04,   Neoplasms
1091,C0027149,Myxoma,disease,C04,   Neoplasms
1092,C0027439,Nasopharyngeal Neoplasms,group,C04,   Neoplasms
1093,C0027439,Nasopharyngeal Neoplasms,group,C07,   Stomatognathic Diseases
1094,C0027439,Nasopharyngeal Neoplasms,group,C09,   Otorhinolaryngologic Diseases
1095,C0027708,Nephroblastoma,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
1096,C0027708,Nephroblastoma,disease,C04,   Neoplasms
1097,C0027708,Nephroblastoma,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
1098,C0027708,Nephroblastoma,disease,C12,   Male Urogenital Diseases
1115,C0027809,Neurilemmoma,disease,C04,   Neoplasms
1117,C0027819,Neuroblastoma,disease,C04,   Neoplasms
1123,C0029463,Osteosarcoma,disease,C04,   Neoplasms
1127,C0029925,Ovarian Carcinoma,disease,C04,   Neoplasms
1128,C0029925,Ovarian Carcinoma,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
1129,C0029925,Ovarian Carcinoma,disease,C19,   Endocrine System Diseases
1238,C0030297,Pancreatic Neoplasm,disease,C06,   Digestive System Diseases
1239,C0030297,Pancreatic Neoplasm,disease,C04,   Neoplasms
1240,C0030297,Pancreatic Neoplasm,disease,C19,   Endocrine System Diseases
1295,C0030421,Paraganglioma,disease,C04,   Neoplasms
1299,C0031511,Pheochromocytoma,disease,C04,   Neoplasms
1306,C0032000,Pituitary Adenoma,disease,C04,   Neoplasms
1307,C0032000,Pituitary Adenoma,disease,C10,   Nervous System Diseases
1308,C0032000,Pituitary Adenoma,disease,C19,   Endocrine System Diseases
1321,C0032463,Polycythemia Vera,disease,C04,   Neoplasms
1322,C0032463,Polycythemia Vera,disease,C15,   Hemic and Lymphatic Diseases
1325,C0035335,Retinoblastoma,disease,C04,   Neoplasms
1326,C0035335,Retinoblastoma,disease,C11,   Eye Diseases
1333,C0035412,Rhabdomyosarcoma,disease,C04,   Neoplasms
1340,C0036095,Salivary Gland Neoplasms,group,C04,   Neoplasms
1341,C0036095,Salivary Gland Neoplasms,group,C07,   Stomatognathic Diseases
1344,C0037286,Skin Neoplasms,group,C04,   Neoplasms
1345,C0037286,Skin Neoplasms,group,C17,   Skin and Connective Tissue Diseases
1350,C0038356,Stomach Neoplasms,group,C06,   Digestive System Diseases
1351,C0038356,Stomach Neoplasms,group,C04,   Neoplasms
1390,C0039538,Teratoma,disease,C04,   Neoplasms
1391,C0039590,Testicular Neoplasms,group,C04,   Neoplasms
1392,C0039590,Testicular Neoplasms,group,C12,   Male Urogenital Diseases
1393,C0039590,Testicular Neoplasms,group,C19,   Endocrine System Diseases
1397,C0040136,Thyroid Neoplasm,disease,C04,   Neoplasms
1398,C0040136,Thyroid Neoplasm,disease,C19,   Endocrine System Diseases
1407,C0079218,"Fibromatosis, Aggressive",disease,C04,   Neoplasms
1410,C0079731,B-Cell Lymphomas,group,C04,   Neoplasms
1411,C0079731,B-Cell Lymphomas,group,C20,   Immune System Diseases
1412,C0079731,B-Cell Lymphomas,group,C15,   Hemic and Lymphatic Diseases
1428,C0079744,Diffuse Large B-Cell Lymphoma,disease,C04,   Neoplasms
1429,C0079744,Diffuse Large B-Cell Lymphoma,disease,C20,   Immune System Diseases
1430,C0079744,Diffuse Large B-Cell Lymphoma,disease,C15,   Hemic and Lymphatic Diseases
1500,C0079773,"Lymphoma, T-Cell, Cutaneous",disease,C04,   Neoplasms
1501,C0079773,"Lymphoma, T-Cell, Cutaneous",disease,C20,   Immune System Diseases
1502,C0079773,"Lymphoma, T-Cell, Cutaneous",disease,C15,   Hemic and Lymphatic Diseases
1503,C0085136,Central Nervous System Neoplasms,group,C04,   Neoplasms
1504,C0085136,Central Nervous System Neoplasms,group,C10,   Nervous System Diseases
1511,C0149782,Squamous cell carcinoma of lung,disease,C04,   Neoplasms
1512,C0149782,Squamous cell carcinoma of lung,disease,C08,   Respiratory Tract Diseases
1525,C0149925,Small cell carcinoma of lung,disease,C04,   Neoplasms
1526,C0149925,Small cell carcinoma of lung,disease,C08,   Respiratory Tract Diseases
1531,C0149978,Adenocarcinoma of rectum,disease,C06,   Digestive System Diseases
1532,C0149978,Adenocarcinoma of rectum,disease,C04,   Neoplasms
1533,C0151468,Thyroid Gland Follicular Adenoma,disease,C04,   Neoplasms
1534,C0151468,Thyroid Gland Follicular Adenoma,disease,C19,   Endocrine System Diseases
1535,C0151779,Cutaneous Melanoma,disease,C04,   Neoplasms
1536,C0151779,Cutaneous Melanoma,disease,C17,   Skin and Connective Tissue Diseases
1617,C0152013,Adenocarcinoma of lung (disorder),disease,C04,   Neoplasms
1633,C0152018,Esophageal carcinoma,disease,C06,   Digestive System Diseases
1634,C0152018,Esophageal carcinoma,disease,C04,   Neoplasms
1645,C0153594,Malignant neoplasm of testis,disease,C04,   Neoplasms
1646,C0153594,Malignant neoplasm of testis,disease,C12,   Male Urogenital Diseases
1647,C0153594,Malignant neoplasm of testis,disease,C19,   Endocrine System Diseases
1651,C0153633,Malignant neoplasm of brain,disease,C04,   Neoplasms
1652,C0153633,Malignant neoplasm of brain,disease,C10,   Nervous System Diseases
1663,C0153942,Benign neoplasm of esophagus,disease,C06,   Digestive System Diseases
1664,C0153942,Benign neoplasm of esophagus,disease,C04,   Neoplasms
1675,C0153943,Benign neoplasm of stomach,disease,C06,   Digestive System Diseases
1676,C0153943,Benign neoplasm of stomach,disease,C04,   Neoplasms
1715,C0154007,Benign neoplasm of testis,disease,C04,   Neoplasms
1716,C0154007,Benign neoplasm of testis,disease,C12,   Male Urogenital Diseases
1717,C0154007,Benign neoplasm of testis,disease,C19,   Endocrine System Diseases
1721,C0154017,Benign neoplasm of bladder,disease,C04,   Neoplasms
1722,C0154017,Benign neoplasm of bladder,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
1723,C0154017,Benign neoplasm of bladder,disease,C12,   Male Urogenital Diseases
1781,C0154059,Carcinoma in situ of esophagus,disease,C06,   Digestive System Diseases
1782,C0154059,Carcinoma in situ of esophagus,disease,C04,   Neoplasms
1793,C0154060,Carcinoma in situ of stomach,disease,C06,   Digestive System Diseases
1794,C0154060,Carcinoma in situ of stomach,disease,C04,   Neoplasms
1833,C0154091,Carcinoma in situ of bladder,disease,C04,   Neoplasms
1834,C0154091,Carcinoma in situ of bladder,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
1835,C0154091,Carcinoma in situ of bladder,disease,C12,   Male Urogenital Diseases
1893,C0162678,Neurofibromatoses,group,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
1894,C0162678,Neurofibromatoses,group,C04,   Neoplasms
1895,C0162678,Neurofibromatoses,group,C10,   Nervous System Diseases
1899,C0205969,Thymic Carcinoma,disease,C04,   Neoplasms
1900,C0205969,Thymic Carcinoma,disease,C15,   Hemic and Lymphatic Diseases
1907,C0206180,Ki-1+ Anaplastic Large Cell Lymphoma,disease,C04,   Neoplasms
1908,C0206180,Ki-1+ Anaplastic Large Cell Lymphoma,disease,C20,   Immune System Diseases
1909,C0206180,Ki-1+ Anaplastic Large Cell Lymphoma,disease,C15,   Hemic and Lymphatic Diseases
1910,C0206624,Hepatoblastoma,disease,C04,   Neoplasms
1915,C0206644,"Histiocytoma, Benign Fibrous",disease,C04,   Neoplasms
1916,C0206667,Adrenal Cortical Adenoma,disease,C04,   Neoplasms
1917,C0206667,Adrenal Cortical Adenoma,disease,C19,   Endocrine System Diseases
1922,C0206669,Hepatocellular Adenoma,disease,C06,   Digestive System Diseases
1923,C0206669,Hepatocellular Adenoma,disease,C04,   Neoplasms
1924,C0206682,Follicular thyroid carcinoma,disease,C04,   Neoplasms
1926,C0206686,Adrenocortical carcinoma,disease,C04,   Neoplasms
1927,C0206686,Adrenocortical carcinoma,disease,C19,   Endocrine System Diseases
1928,C0206692,"Carcinoma, Lobular",disease,C04,   Neoplasms
1929,C0206692,"Carcinoma, Lobular",disease,C17,   Skin and Connective Tissue Diseases
1930,C0206698,Cholangiocarcinoma,disease,C04,   Neoplasms
1934,C0206724,Sex Cord-Stromal Tumor,disease,C04,   Neoplasms
1936,C0206743,Rhabdoid Tumor,disease,C04,   Neoplasms
1938,C0220633,Uveal melanoma,disease,C04,   Neoplasms
1939,C0220633,Uveal melanoma,disease,C11,   Eye Diseases
1944,C0221013,"Mastocytosis, Systemic",disease,C04,   Neoplasms
1945,C0221013,"Mastocytosis, Systemic",disease,C20,   Immune System Diseases
1946,C0235974,Pancreatic carcinoma,disease,C06,   Digestive System Diseases
1947,C0235974,Pancreatic carcinoma,disease,C04,   Neoplasms
1948,C0235974,Pancreatic carcinoma,disease,C19,   Endocrine System Diseases
2006,C0238198,Gastrointestinal Stromal Tumors,group,C06,   Digestive System Diseases
2007,C0238198,Gastrointestinal Stromal Tumors,group,C04,   Neoplasms
2016,C0238324,Ovarian Germ Cell Tumor,disease,C04,   Neoplasms
2017,C0238324,Ovarian Germ Cell Tumor,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
2018,C0238324,Ovarian Germ Cell Tumor,disease,C19,   Endocrine System Diseases
2019,C0238462,Medullary carcinoma of thyroid,disease,C04,   Neoplasms
2020,C0238462,Medullary carcinoma of thyroid,disease,C19,   Endocrine System Diseases
2021,C0242363,Islet Cell Tumor,disease,C06,   Digestive System Diseases
2022,C0242363,Islet Cell Tumor,disease,C04,   Neoplasms
2023,C0242363,Islet Cell Tumor,disease,C19,   Endocrine System Diseases
2027,C0242379,Malignant neoplasm of lung,disease,C04,   Neoplasms
2028,C0242379,Malignant neoplasm of lung,disease,C08,   Respiratory Tract Diseases
2059,C0242647,Mucosa-Associated Lymphoid Tissue Lymphoma,disease,C04,   Neoplasms
2060,C0242647,Mucosa-Associated Lymphoid Tissue Lymphoma,disease,C20,   Immune System Diseases
2061,C0242647,Mucosa-Associated Lymphoid Tissue Lymphoma,disease,C15,   Hemic and Lymphatic Diseases
2065,C0262587,Parathyroid Adenoma,disease,C04,   Neoplasms
2066,C0262587,Parathyroid Adenoma,disease,C19,   Endocrine System Diseases
2075,C0278600,Childhood Brain Stem Glioma,disease,,
2076,C0278622,Adult Malignant Peripheral Nerve Sheath Tumor,disease,C04,   Neoplasms
2077,C0278622,Adult Malignant Peripheral Nerve Sheath Tumor,disease,C10,   Nervous System Diseases
2080,C0278701,Gastric Adenocarcinoma,disease,C06,   Digestive System Diseases
2081,C0278701,Gastric Adenocarcinoma,disease,C04,   Neoplasms
2088,C0278996,Malignant Head and Neck Neoplasm,disease,C04,   Neoplasms
2098,C0279626,Squamous cell carcinoma of esophagus,disease,C06,   Digestive System Diseases
2099,C0279626,Squamous cell carcinoma of esophagus,disease,C04,   Neoplasms
2106,C0279680,Transitional cell carcinoma of bladder,disease,C04,   Neoplasms
2107,C0279680,Transitional cell carcinoma of bladder,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
2108,C0279680,Transitional cell carcinoma of bladder,disease,C12,   Male Urogenital Diseases
2109,C0279702,Conventional (Clear Cell) Renal Cell Carcinoma,disease,C04,   Neoplasms
2110,C0279702,Conventional (Clear Cell) Renal Cell Carcinoma,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
2111,C0279702,Conventional (Clear Cell) Renal Cell Carcinoma,disease,C12,   Male Urogenital Diseases
2157,C0279987,Childhood Malignant Peripheral Nerve Sheath Tumor,disease,C04,   Neoplasms
2158,C0279987,Childhood Malignant Peripheral Nerve Sheath Tumor,disease,C10,   Nervous System Diseases
2161,C0280100,Solid Neoplasm,phenotype,C04,   Neoplasms
2168,C0280313,Squamous cell carcinoma of oropharynx,disease,C04,   Neoplasms
2169,C0280313,Squamous cell carcinoma of oropharynx,disease,C07,   Stomatognathic Diseases
2170,C0280313,Squamous cell carcinoma of oropharynx,disease,C09,   Otorhinolaryngologic Diseases
2171,C0280803,Primary central nervous system lymphoma,disease,C04,   Neoplasms
2172,C0280803,Primary central nervous system lymphoma,disease,C20,   Immune System Diseases
2173,C0280803,Primary central nervous system lymphoma,disease,C10,   Nervous System Diseases
2174,C0280803,Primary central nervous system lymphoma,disease,C15,   Hemic and Lymphatic Diseases
2175,C0281508,Desmoplastic Small Round Cell Tumor,disease,C04,   Neoplasms
2177,C0302592,Cervix carcinoma,disease,C04,   Neoplasms
2178,C0302592,Cervix carcinoma,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
2185,C0334121,Inflammatory Myofibroblastic Tumor,disease,C23,"   Pathological Conditions, Signs and Symptoms"
2186,C0334579,Anaplastic astrocytoma,disease,C04,   Neoplasms
2188,C0334583,Pilocytic Astrocytoma,disease,C04,   Neoplasms
2190,C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",disease,C04,   Neoplasms
2191,C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",disease,C20,   Immune System Diseases
2192,C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",disease,C15,   Hemic and Lymphatic Diseases
2205,C0338106,Adenocarcinoma of colon,disease,C06,   Digestive System Diseases
2206,C0338106,Adenocarcinoma of colon,disease,C04,   Neoplasms
2207,C0341823,Epithelial tumor of ovary,disease,C04,   Neoplasms
2208,C0341823,Epithelial tumor of ovary,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
2209,C0341823,Epithelial tumor of ovary,disease,C19,   Endocrine System Diseases
2210,C0345832,Neoplasm of small intestine,disease,C06,   Digestive System Diseases
2211,C0345832,Neoplasm of small intestine,disease,C04,   Neoplasms
2214,C0346037,Acral Lentiginous Malignant Melanoma,disease,C04,   Neoplasms
2215,C0346037,Acral Lentiginous Malignant Melanoma,disease,C17,   Skin and Connective Tissue Diseases
2216,C0346191,Carcinoma in situ of endometrium,disease,C04,   Neoplasms
2217,C0346191,Carcinoma in situ of endometrium,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
2262,C0346402,Malignant neoplasm of adrenal cortex,disease,C04,   Neoplasms
2263,C0346402,Malignant neoplasm of adrenal cortex,disease,C19,   Endocrine System Diseases
2268,C0346647,Malignant neoplasm of pancreas,disease,C06,   Digestive System Diseases
2269,C0346647,Malignant neoplasm of pancreas,disease,C04,   Neoplasms
2270,C0346647,Malignant neoplasm of pancreas,disease,C19,   Endocrine System Diseases
2325,C0347284,Benign tumor of pancreas,disease,C06,   Digestive System Diseases
2326,C0347284,Benign tumor of pancreas,disease,C04,   Neoplasms
2327,C0347284,Benign tumor of pancreas,disease,C19,   Endocrine System Diseases
2382,C0348374,Malignant Central Nervous System Neoplasm,disease,C04,   Neoplasms
2383,C0348374,Malignant Central Nervous System Neoplasm,disease,C10,   Nervous System Diseases
2390,C0349566,Squamous cell carcinoma of tongue,disease,C04,   Neoplasms
2391,C0349566,Squamous cell carcinoma of tongue,disease,C07,   Stomatognathic Diseases
2392,C0376545,Hematologic Neoplasms,group,C04,   Neoplasms
2393,C0376545,Hematologic Neoplasms,group,C15,   Hemic and Lymphatic Diseases
2408,C0476089,Endometrial Carcinoma,disease,C04,   Neoplasms
2409,C0476089,Endometrial Carcinoma,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
2456,C0496905,Neoplasm of uncertain or unknown behavior of stomach,disease,C06,   Digestive System Diseases
2457,C0496905,Neoplasm of uncertain or unknown behavior of stomach,disease,C04,   Neoplasms
2496,C0496920,Neoplasm of uncertain or unknown behavior of ovary,disease,C04,   Neoplasms
2497,C0496920,Neoplasm of uncertain or unknown behavior of ovary,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
2498,C0496920,Neoplasm of uncertain or unknown behavior of ovary,disease,C19,   Endocrine System Diseases
2607,C0496924,Neoplasm of uncertain or unknown behavior of testis,disease,C04,   Neoplasms
2608,C0496924,Neoplasm of uncertain or unknown behavior of testis,disease,C12,   Male Urogenital Diseases
2609,C0496924,Neoplasm of uncertain or unknown behavior of testis,disease,C19,   Endocrine System Diseases
2613,C0496930,Neoplasm of uncertain or unknown behavior of bladder,disease,C04,   Neoplasms
2614,C0496930,Neoplasm of uncertain or unknown behavior of bladder,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
2615,C0496930,Neoplasm of uncertain or unknown behavior of bladder,disease,C12,   Male Urogenital Diseases
2673,C0496956,Neoplasm of uncertain or unknown behavior of breast,disease,C04,   Neoplasms
2674,C0496956,Neoplasm of uncertain or unknown behavior of breast,disease,C17,   Skin and Connective Tissue Diseases
2771,C0546837,Malignant neoplasm of esophagus,disease,C06,   Digestive System Diseases
2772,C0546837,Malignant neoplasm of esophagus,disease,C04,   Neoplasms
2783,C0549473,Thyroid carcinoma,disease,C04,   Neoplasms
2784,C0549473,Thyroid carcinoma,disease,C19,   Endocrine System Diseases
2809,C0553580,Ewings sarcoma,disease,C04,   Neoplasms
2810,C0585362,Squamous cell carcinoma of mouth,disease,C06,   Digestive System Diseases
2811,C0585362,Squamous cell carcinoma of mouth,disease,C04,   Neoplasms
2812,C0585362,Squamous cell carcinoma of mouth,disease,C07,   Stomatognathic Diseases
2819,C0678222,Breast Carcinoma,disease,C04,   Neoplasms
2820,C0678222,Breast Carcinoma,disease,C17,   Skin and Connective Tissue Diseases
2917,C0684249,Carcinoma of lung,disease,C04,   Neoplasms
2918,C0684249,Carcinoma of lung,disease,C08,   Respiratory Tract Diseases
2949,C0699790,Colon Carcinoma,disease,C06,   Digestive System Diseases
2950,C0699790,Colon Carcinoma,disease,C04,   Neoplasms
2967,C0699791,Stomach Carcinoma,disease,C06,   Digestive System Diseases
2968,C0699791,Stomach Carcinoma,disease,C04,   Neoplasms
3007,C0699885,Carcinoma of bladder,disease,C04,   Neoplasms
3008,C0699885,Carcinoma of bladder,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
3009,C0699885,Carcinoma of bladder,disease,C12,   Male Urogenital Diseases
3067,C0740457,Malignant neoplasm of kidney,disease,C04,   Neoplasms
3068,C0740457,Malignant neoplasm of kidney,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
3069,C0740457,Malignant neoplasm of kidney,disease,C12,   Male Urogenital Diseases
3091,C0751690,Malignant Peripheral Nerve Sheath Tumor,disease,C04,   Neoplasms
3092,C0751690,Malignant Peripheral Nerve Sheath Tumor,disease,C10,   Nervous System Diseases
3095,C0851140,Carcinoma in situ of uterine cervix,disease,C04,   Neoplasms
3099,C0858252,Breast adenocarcinoma,disease,C04,   Neoplasms
3100,C0858252,Breast adenocarcinoma,disease,C17,   Skin and Connective Tissue Diseases
3197,C0878675,Erdheim-Chester Disease,disease,C15,   Hemic and Lymphatic Diseases
3198,C0919267,ovarian neoplasm,disease,C04,   Neoplasms
3199,C0919267,ovarian neoplasm,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
3200,C0919267,ovarian neoplasm,disease,C19,   Endocrine System Diseases
3309,C1140680,Malignant neoplasm of ovary,disease,C04,   Neoplasms
3310,C1140680,Malignant neoplasm of ovary,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
3311,C1140680,Malignant neoplasm of ovary,disease,C19,   Endocrine System Diseases
3420,C1153706,Endometrial adenocarcinoma,disease,C04,   Neoplasms
3421,C1153706,Endometrial adenocarcinoma,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
3428,C1168401,Squamous cell carcinoma of the head and neck,disease,C04,   Neoplasms
3436,C1261473,Sarcoma,group,C04,   Neoplasms
3445,C1266144,Pleuropulmonary blastoma,disease,C04,   Neoplasms
3446,C1266158,Nongerminomatous Germ Cell Tumor,disease,C04,   Neoplasms
3447,C1266158,Nongerminomatous Germ Cell Tumor,disease,C12,   Male Urogenital Diseases
3448,C1266158,Nongerminomatous Germ Cell Tumor,disease,C19,   Endocrine System Diseases
3449,C1266177,Dysembryoplastic neuroepithelial tumor,disease,C04,   Neoplasms
3450,C1292772,"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative",disease,C04,   Neoplasms
3451,C1292772,"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative",disease,C15,   Hemic and Lymphatic Diseases
3456,C1292778,Chronic myeloproliferative disorder,disease,C04,   Neoplasms
3457,C1292778,Chronic myeloproliferative disorder,disease,C15,   Hemic and Lymphatic Diseases
